,SPLITID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,RATE,TRADINGITEMID,EXCHANGEID,SPLITTYPEID,APPLIEDFLAG,SPLITTYPEID,SPLITTYPENAME
155,2645543,2022-03-11,2022-03-10,2022-03-08,2022-02-26,2.0,83018932,117.0,12,1,,
156,2645546,2022-03-11,2022-03-10,2022-03-08,,2.0,79112244,117.0,12,1,,
157,2645835,2022-03-24,2022-03-24,2022-03-24,2022-03-15,0.5,256507140,117.0,34,1,,
158,2645451,2022-02-23,2022-02-23,,,0.5,571968772,117.0,34,1,,
159,2650991,2023-01-12,2023-01-11,2023-01-09,,2.0,407196607,117.0,11,1,,
160,2655070,2023-07-17,2023-07-14,2023-07-13,,5.0,26268876,117.0,33,1,,
161,2655060,2023-07-17,2023-07-14,2023-07-13,,10.0,30050334,117.0,33,1,,
162,2655048,2023-07-17,2023-07-14,2023-07-13,,5.0,29198401,104.0,12,1,,
163,2655059,2023-07-17,2023-07-14,2023-07-13,,10.0,22297459,117.0,33,1,,
164,2655068,2023-07-17,2023-07-14,2023-07-13,,5.0,25181490,117.0,33,1,,
165,2658733,2024-03-07,2024-03-06,2024-03-04,,3.0,6179406,104.0,12,1,,
166,2663542,2024-10-11,2024-10-10,2024-10-09,,3.0,244626387,117.0,12,1,,
167,2663555,2024-10-11,2024-10-10,2024-10-09,,2.0,137396888,117.0,12,1,,
168,2663539,2024-10-11,2024-10-10,2024-10-09,,3.0,141876596,117.0,12,1,,
169,2663551,2024-10-11,2024-10-10,2024-10-09,,2.0,79112244,117.0,12,1,,
170,2663545,2024-10-11,2024-10-10,2024-10-09,,3.0,79112242,117.0,12,1,,
171,2663541,2024-10-11,2024-10-10,2024-10-09,,3.0,83018933,117.0,12,1,,
172,2663550,2024-10-11,2024-10-10,2024-10-09,,2.0,1795169613,117.0,12,1,,
173,2663554,2024-10-11,2024-10-10,2024-10-09,,2.0,111311612,117.0,12,1,,
174,2663553,2024-10-11,2024-10-10,2024-10-09,,2.0,629723039,117.0,12,1,,
175,2663548,2024-10-11,2024-10-10,2024-10-09,,2.0,111311613,117.0,12,1,,
176,2663557,2024-10-11,2024-10-10,2024-10-09,,2.0,79112245,117.0,12,1,,
177,2663540,2024-10-11,2024-10-10,2024-10-09,,3.0,118204476,117.0,12,1,,
178,2663543,2024-10-11,2024-10-10,2024-10-09,,3.0,244626386,117.0,12,1,,
179,2663544,2024-10-11,2024-10-10,2024-10-09,,3.0,79112243,117.0,12,1,,
180,2663556,2024-10-11,2024-10-10,2024-10-09,,2.0,639872107,117.0,12,1,,
181,2663552,2024-10-11,2024-10-10,2024-10-09,,2.0,111311611,117.0,12,1,,
182,2663538,2024-10-11,2024-10-10,2024-10-09,,4.0,83018932,117.0,12,1,,
183,2663371,2024-10-02,2024-10-02,,,0.2,600490106,117.0,34,1,,
184,2664396,2024-11-20,2024-11-20,,,0.1,1881669509,117.0,34,1,,
185,2664395,2024-11-20,2024-11-20,,,0.2,1889422006,117.0,34,1,,
