Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
2-ETF (IVV/EFA),Baseline (2010–2019),Calendar,Monthly,Monthly Rebal | No TLH,2006636.96,1821453.69,2009580.99,1820345.84,2944.030000000028,-1107.8499999998603,35,3046.16,3545.01,182770.56,186820.31
2-ETF (IVV/EFA),Baseline (2010–2019),Calendar,Quarterly,Quarterly Rebal | No TLH,2016596.16,1828053.69,2021050.47,1828810.87,4454.310000000056,757.1800000001676,14,2385.87,2805.43,186119.8,189811.44
2-ETF (IVV/EFA),Baseline (2010–2019),Calendar,Yearly,Yearly Rebal | No TLH,2027456.23,1833694.72,2030440.6,1833357.55,2984.3700000001118,-337.1699999999255,5,1831.42,2172.06,191323.56,194641.25
2-ETF (IVV/EFA),Baseline (2010–2019),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2067539.07,1877519.32,2080703.71,1881108.85,13164.639999999898,3589.530000000028,3,1935.83,2842.88,187512.19,197080.47
2-ETF (IVV/EFA),Baseline (2010–2019),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2119541.92,1922483.77,2131023.64,1926542.01,11481.720000000205,4058.2399999999907,1,1945.17,2615.28,194469.96,201887.15
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1957951.41,1798608.21,1944782.19,1781258.27,-13169.219999999972,-17349.939999999944,7,3089.1,3526.53,156986.13,161189.15
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1935578.15,1756957.69,1935578.15,1756957.69,0.0,0.0,0,1560.12,1560.12,176281.04,176281.04
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1998148.64,1795881.42,1998148.64,1795881.42,0.0,0.0,0,1198.56,1198.56,199869.44,199869.44
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Calendar,Monthly,Monthly Rebal | No TLH,1934315.49,1784639.79,1920813.27,1769148.01,-13502.219999999972,-15491.780000000028,20,6743.41,7343.79,147337.85,149348.11
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Calendar,Quarterly,Quarterly Rebal | No TLH,1969712.95,1808931.04,1960289.57,1800137.17,-9423.379999999888,-8793.870000000112,8,4334.46,4612.86,158409.43,157790.56
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Calendar,Yearly,Yearly Rebal | No TLH,1934329.67,1765295.85,1929874.39,1760785.02,-4455.280000000028,-4510.8300000000745,2,2275.22,2432.28,166712.72,166773.15
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1950782.39,1785493.21,1952319.72,1783883.5,1537.3300000000745,-1609.7099999999627,2,2171.69,2324.55,162928.6,166077.48
3-ETF (SPY/TLT/GLD),Baseline (2010–2019),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1968039.28,1799389.79,1968039.28,1799389.79,0.0,0.0,0,1896.78,1896.78,166246.23,166246.23
40/60 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1564320.76,1469830.64,1545007.55,1450979.91,-19313.209999999963,-18850.72999999998,27,1798.98,2741.66,92591.29,92171.17
40/60 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1610948.43,1513308.23,1595795.22,1500768.95,-15153.209999999963,-12539.280000000028,20,1874.54,2863.09,95666.71,93104.95
